"","subject","totalBonus","q1","q2","q3","q4","q5","q6","q7"
"1",1,5.3,"rarely","I think i counted once or twice, but quickly abandoned that method.","rarely","I just visually saw the path and followed it.","always","always","yes"
"2",2,5.25,"never","I didn't use a counting strategy.","always","I looked for the closest path to the goal depending on my starting position.","always","always","yes"
"3",3,5.53,"rarely","I did not have a real counting strategy. A few times at the beginning, I just counted the sprite and the goal's sides against the wall if the walls were equal. Then later on, I just got a little more impatient and just did a guess.","often","Just what seemed to be the fastest route","sometimes","sometimes","yes"
"4",4,5.34,"sometimes","to find the shortest route","often","by using minimum number of squares","often","often","yes"
"5",5,5.3,"rarely","only when it seemed like a long distance i would count blocks between 2 paths","sometimes","just by eyeing it and figuring out the best route","never","rarely","yes"
"6",6,5.39,"often","I counted whether there were more blocks up or down for my goal and my starting point and then went up or down to started based off that (same for left/right)","rarely","I tried to minimize the steps taken by eyeballing what seemed the shortest, it was usually obvious after figuring out the first move.","always","always","yes"
"7",7,5.44,"never","I did not use a counting strategy.","always","I just visualized what I thought was the shortest distance. A few times I accidentally went one block too far, messing my count up.","always","always","yes"
"8",8,5.44,"rarely","Once or twice I counted the squares for two different paths, but I quickly was able to just look and discern which path was best based on experience","always","I visualized the path that looked the shortage","always","always","yes"
"9",9,5.33,"never","N/A","often","I tried to determine which route is the fastest.","sometimes","sometimes","yes"
"10",10,5.36,"rarely","On just a couple of them, I calculated the two most probable routes and counted how many squares each would be. It took too long so I only did it a couple of times.","rarely","I counted the squares from beginning to end.","often","often","yes"
"11",11,5.03,"never","I didn't use one","sometimes","Whatever route looked shortest visually","always","sometimes","yes"
"12",12,4.99,"sometimes","when the distances with blocks looked identical, I counted.","rarely","by counting the blocks","sometimes","sometimes","yes"
"13",13,5.26,"rarely","Only when it seemed like multiple directions could be the least","often","Just visually compared to two most direct paths","often","often","yes"
"14",14,5.11,"never","It never even occurred to me...","always","Instinct, subconscious?? I just ""saw"" it.","rarely","always","yes"
"15",15,5.43,"sometimes","I tried to count the distance between myself and the goal along different paths.","often","It seemed intuitive.","sometimes","sometimes","yes"
"16",16,5.34,"rarely","I only counted a few times when I wasn't exactly sure when I had moved so far, which path around a wall would be better.","often","Based on the walls, and how far left/right, and up/down I'd have to move to get to the goal.","often","often","yes"
"17",17,4.98,"sometimes","counted how many blocks the cube would have to travel either up and down the walls","often","Tried to see the quickest way to the ""open"" area (without walls) to get to the other side where the goal was","sometimes","sometimes","yes"
"18",18,5.19,"never","no","often","very quick and short route","sometimes","often","yes"
"19",19,NA,NA,"{}",NA,"{}",NA,NA,""
