"","subject","totalBonus","q1","q10","q11","q12","q2","q3","q4","q5","q6","q7","q8","q9"
"1",1,4.48,"sometimes","often","Which ever gate had the shortest wall","yes","Was counting how far the star was from the wall openings","sometimes","Based on what gab was the smallest","rarely","never","never","always","always"
"2",2,4.61,"rarely","always","Just by looking at which one I thought look the shortest","yes","on some of them I just kind of estimated the number of squares going 2 different ways","always","<ostly just by looking at what I thought would be the shortest route","always","always","always","always","always"
"3",3,4.53,"rarely","often","Usually the one that I first come to was the shorter route.","yes","I tried to estimate the difference between the initial path for the blue sprite (up or down)","sometimes","I visually estimated which route was the shortest. On several occasions I knew after a couple of steps that I made a mistake.","often","rarely","always","always","always"
"4",4,3.92,"rarely","often","Estimated the number of steps","yes","just estimated the number of steps for each route","often","through estimation","always","often","often","often","often"
"5",5,4.62,"never","sometimes","I estimated in my head the path that would be shorter.","yes","I didn't use one.","sometimes","I had a basic mental map of what the shorter route would be. Nothing special.","sometimes","sometimes","sometimes","often","sometimes"
"6",6,4.63,"never","always","I generally chose the gate that was closest to the goal because it meant less backtracking.","yes","N/A","often","I just tried to visualize which route would be the fewest steps to the goal without counting them.","always","often","often","often","always"
"7",7,4.53,"never","often","just looked to see the shortest route","yes","n/a","sometimes","the route that looked the shortest.","sometimes","often","often","always","always"
"8",8,4.61,"rarely","always","by eyeballing which path looked shorter. I was wrong a few times, of course, but it wasn't worth the effort to overthink things.","yes","I counted only on the simple puzzles, and only when the shortest route wasn't obvious. When I counted those, I only counted the number of squares I would be traveling up and down, as the number of horizontal squares traveled would have been the same whether I started off going up or going down.","always","by eyeballing it, seeing where it was possible to cross over, and whether it looked quicker to go up or down first","always","always","always","always","always"
"9",9,4.41,"never","often","I chose the one which was closest to where I already was.","yes","I did not use one.","often","I first envisioned the straight line to get me from my place to the goal and then figured out how best to navigate the walls to match the straight line as closely as possible.","often","often","always","always","always"
"10",10,4.48,"never","often","I mostly paid attention to the second gate because the second gate determines the best path for me to take since it's usually closer to one side of the maze.","yes","N/A","always","I guessed the route I thought took the least turns to get to the goal and took that route.","always","rarely","often","always","always"
"11",11,4.66,"never","always","whichever was closest","yes","none","always","whatever looked shortest","always","often","always","always","always"
"12",12,4.62,"never","always","By intuition","yes",NA,"always","Intuition","always","always","always","always","always"
"13",13,4.64,"rarely","always","I chose the one closest to the sprite.","yes","I used it at first to make sure I was getting the least amount of tiles, but then it kind of became instinct and I could judge how far away without needing to count.","often","I would look to see where the goal was, and where any openings in the walls were. I'd take the route closest to any openings/the goal.","always","often","often","always","always"
"14",14,4.78,"rarely","always","When there were two gates, it would be one of two situations: either the gate closest to the end was the fastest route or both gates were part of equidistant routes. So generally, I went with the gate closest to the end, but I always double-checked the distance by eyeing it up first.","yes","I counted the blocks on maybe the 2nd example just to get my head into the mode of counting without actually counting. All other examples, I eyed up the difference in block distance between my starting row and the row that the end was in(or the row just before the entrance to the row it was in).","sometimes","I simply eyed up the distances between going left and going right on either side of the puzzle, then picked the distance with the smaller sum.","always","always","always","sometimes","always"
"15",15,4.17,"never","sometimes","own decisions","yes","nothing","sometimes","move to a way correctly","sometimes","sometimes","sometimes","sometimes","sometimes"
"16",16,4.7,"rarely","often","I quickly gauged how far the gate was to the goal and whether I needed to take additional steps to get to it or whether it was simply a direct line.","yes","I used it in the beginning, when I tried to figure out how to optimize the path.  I counted generally between the two paths in the beginning and tried to figure out which was which.  I then compared it to the last wall and saw if it made a difference.  Towards the end, I developed a more intuitive sense and went with that.","sometimes","I quickly counted the number of blocks I had to move to get out of the first wall.  I then quickly scanned how many blocks I needed to move past the second wall and figured out the difference.","always","often","often","always","sometimes"
"17",17,4.59,"never","sometimes","The one that seems overall shortest for the total route.","yes","No counting, used intuition.","often","Mental approximation based on shapes.","often","rarely","sometimes","sometimes","rarely"
"18",18,4.24,"never","always","the gate that was closes to goal without needing to backtrack","yes","n/a","always","by direction that is closes to target","often","often","sometimes","always","always"
"19",19,4.22,"never","always","I went through the closest one.","yes","I didn't use a counting strategy.","often","I just went in the path that looked like it was the shortest distance.","always","always","always","always","always"
"20",20,4.59,"rarely","sometimes","the one that is closer to the opening leading to the goal.","yes","I counted when there are unequal number of obstacles.","sometimes","I just estimated if they are equal on both sides or not.","often","rarely","rarely","often","often"
"21",21,3.94,"never","often","If the gate was closer to the Goal, I'd choose that one.","yes","I did not use such strategy.","often","I took the route that looked the shortest to me.","always","always","always","always","always"
"22",22,4.42,"often","always","Which every the position the gate is and the location of the goal factored in my decision which route to take","yes","I try to count quickly in my head the amount of steps it will take to reah the goal","often","Try to calculating the distance and moves it takes to reach the goal in my mind before executing","always","sometimes","sometimes","always","often"
"23",23,4.59,"never","always","The one that was closest to the sprite.","yes","I didn't use a counting strategy.","always","I visualized the shorter distance. If there was a blocked off area and I could only go through that way, I visualized the shortest distance to that opening.","always","always","always","always","always"
"24",24,4.6,"never","always","I determined which route would likely take the fewest steps","yes","All I did was quickly look to see which path seemed shorter and took that one.","never","I looked to see which path appeared shortest and I took that one","always","always","always","always","always"
"25",25,4.74,"never","never","i chose by my gut feeling","yes",NA,"always","gut feeling","never","never","never","always","never"
"26",26,4.28,"rarely","sometimes","which looked the shortest way","yes","I would have determined which was the better route.","sometimes","I looked at which looked to be the shortest route.","always","rarely","rarely","always","sometimes"
"27",27,4.38,"always","sometimes","it is easy study","yes","it is easy study","often","it is easy study","sometimes","often","always","often","sometimes"
"28",28,4.23,"always","often","gess","yes","I used a currect selection counting strategy","often","currect way selection","always","always","always","always","often"
"29",29,4.48,"never","sometimes","just the first one that i come to","yes","n/a","always","i would just look and you can usually tell what the least moves is","sometimes","rarely","rarely","sometimes","sometimes"
"30",30,3.73,"never","never","n/a","yes","n/a","never","instinct","often","often","often","often","often"
"31",31,4.63,"sometimes","sometimes","I usually picked the gate that was closest to where the sprite was starting from.","yes","I would sometimes count how many steps the sprite would have to move left or right to get around the first wall, and then I would compare that number to how many steps the sprite would have to take after moving around the wall closest to the goal.","rarely","My biggest choice was usually whether to go left or right for the first few steps. I always stayed along the sides and once I reached the other side, I just tried to find the shortest amount of steps to the goal.","always","often","often","always","always"
